game,total_purchasers,purchased_and_played,conversion_rate
"Making History The Calm & The Storm",3,1,33.33
"Mechanic Escape",18,6,33.33
"MoW Face Off M",3,1,33.33
"Monkey Island 2 Special Edition",27,9,33.33
"Monster Bash",3,1,33.33
"Monster Loves You!",3,1,33.33
"Montague's Mount",3,1,33.33
"Mr. Robot",3,1,33.33
NaissanceE,3,1,33.33
"Nightmares from the Deep 3 Davy Jones",3,1,33.33
"No Time To Explain Remastered",9,3,33.33
"Oozi Earth Adventure",3,1,33.33
"Oscura Lost Light",3,1,33.33
"Pacific Storm Allies",3,1,33.33
"Painkiller Gold Edition",3,1,33.33
"Painkiller Overdose",12,4,33.33
"Paper Sorcerer",3,1,33.33
"Patrician III",6,2,33.33
"Pid ",45,15,33.33
"Pineview Drive",3,1,33.33
Praetorians,6,2,33.33
"Probably Archery",3,1,33.33
"Project Snowblind",6,2,33.33
R.O.O.T.S,3,1,33.33
"Race The WTCC Game",18,6,33.33
"Razor2 Hidden Skies",3,1,33.33
"Real Horror Stories Ultimate Edition",6,2,33.33
"Real Warfare",3,1,33.33
"Reaper - Tale of a Pale Swordsman",3,1,33.33
"Rescue Everyday Heroes",3,1,33.33
Retro/Grade,6,2,33.33
"Reveal The Deep",3,1,33.33
"Scratches Director's Cut",6,2,33.33
"Secret Of Magia",6,2,33.33
"Shadow Man",3,1,33.33
Sideway,6,2,33.33
Silverfall,3,1,33.33
"Skyscraper Simulator",6,2,33.33
Sokobond,3,1,33.33
"Space Empires V",3,1,33.33
"Space Trader Merchant Marine",9,3,33.33
"Street Racing Syndicate",9,3,33.33
"Super Panda Adventures",3,1,33.33
"SuperPower 2 Steam Edition",3,1,33.33
"Sword of the Stars Complete Collection",6,2,33.33
TRAUMA,12,4,33.33
TUG,3,1,33.33
"Terrain Test",3,1,33.33
"The Bard's Tale",18,6,33.33
"The Cat Lady",12,4,33.33
"The Chaos Engine",3,1,33.33
"The Dark Eye Chains of Satinav",9,3,33.33
"The Deer",3,1,33.33
"The Samaritan Paradox",3,1,33.33
"The Secret of Tremendous Corporation",3,1,33.33
"The Settlers Online",15,5,33.33
"The UnderGarden",3,1,33.33
"Theatre of War 2 Kursk 1943 ",3,1,33.33
"Third Eye Crime",3,1,33.33
Tidalis,12,4,33.33
Tinboy,6,2,33.33
"ToCA Race Driver 3",6,2,33.33
"Tom Clancy's Ghost Recon Advanced Warfighter 2",9,3,33.33
"Tomb Raider I",39,13,33.33
"UFO Extraterrestrials Gold",6,2,33.33
"Under the Ocean",3,1,33.33
"Velvet Assassin",12,4,33.33
"War, the Game",3,1,33.33
"Warhammer 40,000 Dawn of War  Winter Assault",45,15,33.33
"Warhammer Online Age of Reckoning",3,1,33.33
"Wizardry 7 Crusaders of the Dark Savant",3,1,33.33
"Woody Two-Legs Attack of the Zombie Pirates",3,1,33.33
"Xpand Rally Xtreme",3,1,33.33
Yosumin!,3,1,33.33
"bit Dungeon II",6,2,33.33
"Counter-Strike Condition Zero",679,225,33.14
Dizzel,91,30,32.97
"Company of Heroes (New Steam Version)",192,63,32.81
"Star Wars - Jedi Knight II Jedi Outcast",61,20,32.79
"Operation Flashpoint Dragon Rising",52,17,32.69
"Arma Cold War Assault",83,27,32.53
"Dead Space 2",83,27,32.53
"The Guild II",40,13,32.5
"Two Worlds Epic Edition",59,19,32.2
"Kane & Lynch 2 Dog Days",53,17,32.08
DogFighter,22,7,31.82
"Eternal Senia",22,7,31.82
"X3 Reunion",22,7,31.82
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome",19,6,31.58
"Adventures of Shuggy",19,6,31.58
"Blender 2.76b",57,18,31.58
F.E.A.R.,76,24,31.58
"Saints Row Gat out of Hell",19,6,31.58
Wizorb,19,6,31.58
"ACE - Arena Cyber Evolution",35,11,31.43
"Floating Point",48,15,31.25
"On the Rain-Slick Precipice of Darkness, Episode One",16,5,31.25
"Sid Meier's Civilization IV Beyond the Sword",80,25,31.25
"GunZ 2 The Second Duel",221,69,31.22
"Crash Time II",45,14,31.11
"Sid Meier's Railroads!",45,14,31.11
Uplink,45,14,31.11
"Combat Arms",29,9,31.03
"DOOM II Hell on Earth",29,9,31.03
8BitBoy,26,8,30.77
"America's Army 3",52,16,30.77
"Blood of Old",13,4,30.77
"Commander Keen Complete Pack",13,4,30.77
"Curse of Mermos",13,4,30.77
"Galcon Fusion",13,4,30.77
GameGuru,13,4,30.77
"I Have No Mouth, and I Must Scream",13,4,30.77
Morphopolis,13,4,30.77
"Narcissu 1st & 2nd",26,8,30.77
Robotex,13,4,30.77
"SiN Episodes Emergence",13,4,30.77
TypeRider,13,4,30.77
"The Bureau XCOM Declassified",49,15,30.61
"Commandos 2 Men of Courage",36,11,30.56
"Men of War Red Tide",23,7,30.43
"Aura Kingdom",135,41,30.37
"Pinball Arcade",33,10,30.3
"Fallout Tactics",43,13,30.23
"Arma 2 Free",20,6,30.0
"Assassin's Creed Freedom Cry",10,3,30.0
"Beatbuddy Tale of the Guardians",30,9,30.0
"Beyond Good & Evil",10,3,30.0
"Call of Duty",10,3,30.0
"Evolution RTS",10,3,30.0
"Get Off My Lawn!",20,6,30.0
"Heretic Shadow of the Serpent Riders",10,3,30.0
"Overcast - Walden and the Werewolf",20,6,30.0
Ragnarok,30,9,30.0
"SUPER DISTRO",10,3,30.0
"Ship Simulator Extremes",10,3,30.0
"Simply Chess",10,3,30.0
"Tales Runner",10,3,30.0
"Tales of Monkey Island Chapter 2 - The Siege of Spinner Cay ",10,3,30.0
"Tales of Monkey Island Chapter 4 - The Trial and Execution of Guybrush Threepwood ",10,3,30.0
"Tales of Monkey Island Chapter 5 - Rise of the Pirate God",10,3,30.0
Half-Life,388,116,29.9
"Hitman Blood Money",77,23,29.87
"TOME Immortal Arena",27,8,29.63
Dwarfs!?,17,5,29.41
"Hacker Evolution - Untold",17,5,29.41
"Hospital Tycoon",17,5,29.41
"Victory Command",17,5,29.41
"Mortal Kombat Kollection",58,17,29.31
"Mortal Online",41,12,29.27
"X-COM UFO Defense",41,12,29.27
Closure,24,7,29.17
"Sid Meier's Civilization III Complete",79,23,29.11
"Knights and Merchants",62,18,29.03
"Ascend Hand of Kul",38,11,28.95
"The Lord of the Rings Online",114,33,28.95
Risen,45,13,28.89
"Rise of Incarnates",146,42,28.77
"Age of Wonders Shadow Magic",7,2,28.57
"Assassins Creed Chronicles China",7,2,28.57
Bardbarian,7,2,28.57
"Camera Obscura",14,4,28.57
"Card City Nights",7,2,28.57
"Close Your Eyes",7,2,28.57
"Cossacks European Wars",7,2,28.57
Darwinia,42,12,28.57
"Dead Rising 2 Off the Record",14,4,28.57
"Deus Ex Revision",7,2,28.57
DiRT,7,2,28.57
"Divinity II Developer's Cut",42,12,28.57
FATE,7,2,28.57
"Fortune Summoners Secret of the Elemental Stone",7,2,28.57
"Gumboy Crazy Adventures",7,2,28.57
"Hack, Slash, Loot",7,2,28.57
"LEGO Harry Potter Years 5-7",14,4,28.57
"Legend of Mysteria",7,2,28.57
"Mitsurugi Kamui Hikae",7,2,28.57
"Painkiller Redemption",14,4,28.57
"Papo & Yo",28,8,28.57
Particula,21,6,28.57
"Penguins Arena Sedna's World",14,4,28.57
"Quake II",14,4,28.57
"Remnants Of Isolation",7,2,28.57
Riven,7,2,28.57
Roogoo,7,2,28.57
"Runaway A Road Adventure",7,2,28.57
"Secret Files Tunguska",7,2,28.57
"Sun Blast",7,2,28.57
"Super Sanctum TD",14,4,28.57
"The Book of Unwritten Tales The Critter Chronicles",7,2,28.57
"The Cat and the Coup",7,2,28.57
"Uncharted Waters Online Gran Atlas",14,4,28.57
Voxelized,7,2,28.57
"Wrath of Athena",7,2,28.57
"Alan Wake's American Nightmare",85,24,28.24
"RaceRoom Racing Experience ",192,54,28.13
"The Ship Single Player",82,23,28.05
Enclave,107,30,28.04
"Back to Dinosaur Island ",25,7,28.0
"Half Minute Hero Super Mega Neo Climax Ultimate Boy",25,7,28.0
Overlord,79,22,27.85
"City of Steam Arkadia",18,5,27.78
HIT,18,5,27.78
"Passing Pineview Forest",18,5,27.78
"Prince of Persia",18,5,27.78
"Q.U.B.E Director's Cut",18,5,27.78
"Age of Empires Online",29,8,27.59
"Prime World",29,8,27.59
"Sam & Max 301 The Penal Zone",29,8,27.59
"All Is Dust",22,6,27.27
Anodyne,11,3,27.27
"Avadon The Black Fortress",11,3,27.27
"Two Worlds II Castle Defense",11,3,27.27
"Viking Battle for Asgard",33,9,27.27
"Wolfenstein 3D",11,3,27.27
"how do you Do It?",11,3,27.27
"Eets Munchies",37,10,27.03
NightSky,37,10,27.03
"SpellForce 2 - Faith in Destiny",26,7,26.92
"Crazy Machines 2",15,4,26.67
"King's Bounty Crossworlds",15,4,26.67
"Lugaru HD ",15,4,26.67
"Orbital Gear",15,4,26.67
"Red Faction",30,8,26.67
Symphony,15,4,26.67
"Sid Meier's Ace Patrol Pacific Skies",34,9,26.47
"Sunrider Mask of Arcadius",34,9,26.47
"EVGA PrecisionX 16",38,10,26.32
"Skullgirls Endless Beta",38,10,26.32
"The Basement Collection",19,5,26.32
Panzar,65,17,26.15
"Sonic Adventure DX",23,6,26.09
"Oddworld Abe's Oddysee",58,15,25.86
"Euro Truck Simulator",31,8,25.81
"EverQuest II",31,8,25.81
"Thinking with Time Machine",39,10,25.64
"Company of Heroes Tales of Valor",129,33,25.58
"Ragnarok Online 2",90,23,25.56
"Free to Play",131,33,25.19
AR-K,4,1,25.0
"Absconding Zatwor",8,2,25.0
"American Conquest",8,2,25.0
"Another Perspective",4,1,25.0
Aquaria,28,7,25.0
"BIT.TRIP CORE",4,1,25.0
"BIT.TRIP VOID",4,1,25.0
"Blackguards 2",12,3,25.0
"Blackwell Convergence",4,1,25.0
"BloodRealm Battlegrounds",12,3,25.0
"BookWorm Deluxe",8,2,25.0
"Broken Sword 1 - Shadow of the Templars Director's Cut",20,5,25.0
CaesarIA,12,3,25.0
"Cherry Tree High I! My! Girls!",4,1,25.0
"CivCity Rome",4,1,25.0
Claire,4,1,25.0
Contrast,8,2,25.0
"Cosmic Osmo",4,1,25.0
"Critical Mass",4,1,25.0
David.,4,1,25.0
"Destination Sol",16,4,25.0
"Destiny Warriors",4,1,25.0
"Dracula Origin",4,1,25.0
"Dreamfall The Longest Journey",8,2,25.0
Driftmoon,4,1,25.0
Eidolon,4,1,25.0
"Electronic Super Joy Groove City",4,1,25.0
"Ethan Meteor Hunter",8,2,25.0
"Ether Vapor Remaster",4,1,25.0
Etherium,4,1,25.0
"FATE Undiscovered Realms",4,1,25.0
"FINAL FANTASY IV",4,1,25.0
"Face Noir",4,1,25.0
"Forsaken Uprising",4,1,25.0
"Fortix 2",4,1,25.0
"Freaking Meatbags",4,1,25.0
"Frozen Free Fall Snowball Fight",8,2,25.0
"Greed Black Border",4,1,25.0
"Half-Life 2 Update",36,9,25.0
"Hate Plus",4,1,25.0
"HeXen II",12,3,25.0
"Heli Heroes",4,1,25.0
"Heroes of Might & Magic V Hammers of Fate",8,2,25.0
"Heroes of SoulCraft",12,3,25.0
"Huntsman - The Orphanage Halloween Edition",4,1,25.0
"Imperial Glory",4,1,25.0
"Into The War",4,1,25.0
"Invisible Apartment",4,1,25.0
"Iron Warriors T-72 Tank Command",4,1,25.0
"Jack Lumber",12,3,25.0
"Jagged Alliance 2 Gold Pack",4,1,25.0
KAMI,8,2,25.0
"King's Bounty Armored Princess",16,4,25.0
"Lamia Must Die",4,1,25.0
"Legends of Aethereus",4,1,25.0
Lightfish,4,1,25.0
"Lilly Looking Through",4,1,25.0
"Majesty Gold Edition",4,1,25.0
"Naval War Arctic Circle",4,1,25.0
"NecroVisioN Lost Company",4,1,25.0
"Ohm Studio",4,1,25.0
"One Way To Die Steam Edition",4,1,25.0
"Painkiller Recurring Evil",8,2,25.0
"Pink Hour",4,1,25.0
"Platypus II",12,3,25.0
"Post Mortem",4,1,25.0
Pressured,12,3,25.0
"Real World Racing",4,1,25.0
"Red Stone Online",4,1,25.0
Redshirt,4,1,25.0
Rexaura,4,1,25.0
"Rocketbirds Hardboiled Chicken",32,8,25.0
"Rogue Warrior",4,1,25.0
"Rune Classic",4,1,25.0
"Shantae Risky's Revenge - Director's Cut",4,1,25.0
"Shattered Planet",4,1,25.0
"Shattered Union",4,1,25.0
"Silent Storm Sentinels",4,1,25.0
Splice,12,3,25.0
"Star Wars Dark Forces",56,14,25.0
"Starion Tactics",4,1,25.0
"Super Puzzle Platformer Deluxe",4,1,25.0
"Tales from Space Mutant Blobs Attack",12,3,25.0
"The Guild Gold Edition",12,3,25.0
"The Inner World",4,1,25.0
"The Moon Sliver",4,1,25.0
"The Night of the Rabbit",8,2,25.0
"The Whispered World",8,2,25.0
"The Yawhg",4,1,25.0
"Theatre of War 2 Africa 1943",4,1,25.0
Tropico,8,2,25.0
"Universal Combat CE",4,1,25.0
"Unreal II The Awakening",16,4,25.0
Velocibox,4,1,25.0
Waves,4,1,25.0
"Wizardry 8",4,1,25.0
Wolfenstein,4,1,25.0
"Written in the Sky",4,1,25.0
"Zafehouse Diaries",4,1,25.0
"Zen Bound 2",16,4,25.0
"Zuma Deluxe",4,1,25.0
"Tropico 3 - Steam Special Edition",97,24,24.74
"Crysis Wars",61,15,24.59
"Football Superstars",37,9,24.32
"Breath of Death VII ",33,8,24.24
"Take On Helicopters",29,7,24.14
"Half-Life 2 Deathmatch",823,198,24.06
"Final DOOM",25,6,24.0
"Penny Arcade's On the Rain-Slick Precipice of Darkness 3",25,6,24.0
"Star Wars The Force Unleashed II",50,12,24.0
Viridi,25,6,24.0
"Anomaly 2",21,5,23.81
"Darkest Hour Europe '44-'45",63,15,23.81
"Forsaken World ",21,5,23.81
"Grand Theft Auto",42,10,23.81
"Thief Gold",55,13,23.64
Aion,17,4,23.53
"My Lands",17,4,23.53
"Teleglitch Die More Edition",51,12,23.53
"DiRT 3 Complete Edition",81,19,23.46
"Guardians of Middle-earth",43,10,23.26
"Red Orchestra 2 Heroes of Stalingrad - Single Player",168,39,23.21
"Cannons Lasers Rockets",13,3,23.08
"Commandos Behind Enemy Lines",26,6,23.08
"Midnight Club II",13,3,23.08
"Painkiller Black Edition",13,3,23.08
"Pool Nation FX",13,3,23.08
"Rusty Hearts",26,6,23.08
"Spartans Vs Zombies Defense",13,3,23.08
"Star Wars Starfighter",39,9,23.08
"Stronghold Legends",26,6,23.08
"Dwarfs F2P",35,8,22.86
"Arma Tactics",22,5,22.73
Eets,22,5,22.73
"Hitman Codename 47",66,15,22.73
"Sid Meier's Civilization IV Colonization",75,17,22.67
"Construct 2 Free",31,7,22.58
"Sacred Citadel",31,7,22.58
"Thief Deadly Shadows",49,11,22.45
"Black Fire",9,2,22.22
"Dawn of Discovery",9,2,22.22
DeadCore,9,2,22.22
"Defense Grid 2 A Matter of Endurance",9,2,22.22
"Disciples III Resurrection",9,2,22.22
"Hell Yeah!",18,4,22.22
Incredipede,9,2,22.22
"Sam & Max 103 The Mole, the Mob and the Meatball",9,2,22.22
"Sam & Max 105 Reality 2.0",9,2,22.22
"Sam & Max 106 Bright Side of the Moon",9,2,22.22
"Syder Arcade",9,2,22.22
"The Lost Crown",9,2,22.22
X-Tension,9,2,22.22
NEOTOKYO,68,15,22.06
"Stealth Inc 2",41,9,21.95
"Sacred 2 Gold",55,12,21.82
"Dungeon Siege 2",23,5,21.74
"Dream Of Mirror Online",14,3,21.43
Gothic,14,3,21.43
"Just Cause",56,12,21.43
"Legacy of Kain Soul Reaver",14,3,21.43
"SpellForce Platinum Edition",14,3,21.43
"Vertical Drop Heroes HD",14,3,21.43
"MX vs. ATV Reflex",33,7,21.21
"RAW - Realms of Ancient War",33,7,21.21
"Shadowgrounds Survivor",33,7,21.21
"Dark Messiah of Might & Magic Multi-Player",52,11,21.15
"Tomb Raider Anniversary",52,11,21.15
"Bionic Commando Rearmed",19,4,21.05
"Lost Saga North America",19,4,21.05
"Penumbra Requiem",19,4,21.05
"Murder Miners",24,5,20.83
"Amazing World",29,6,20.69
"Commandos 3 Destination Berlin",29,6,20.69
"Sid Meier's Ace Patrol",34,7,20.59
"Run and Fire",44,9,20.45
"A New Beginning - Final Cut",15,3,20.0
"A Valley Without Wind 2",10,2,20.0
"American Conquest - Fight Back",5,1,20.0
AquaNox,10,2,20.0
"Avadon 2 The Corruption",5,1,20.0
"Avernum 4",5,1,20.0
"Avernum 5",5,1,20.0
"Avernum 6",5,1,20.0
"Aveyond 3-1 Lord of Twilight",5,1,20.0
"Cherry Tree High Comedy Club",5,1,20.0
"Conflict Denied Ops",5,1,20.0
"Contraption Maker",10,2,20.0
"DOOM 3 Resurrection of Evil",25,5,20.0
"Demolition, Inc.",5,1,20.0
"Dogs of War Online - Beta",10,2,20.0
"Dragon's Prophet (EU)",20,4,20.0
"Dream Pinball 3D",5,1,20.0
"Edna & Harvey Harvey's New Eyes",15,3,20.0
"Electric Highways",5,1,20.0
"Enemy Mind",20,4,20.0
"Escape Machines",5,1,20.0
"FIST OF AWESOME",5,1,20.0
"Face of Mankind",35,7,20.0
"Flora's Fruit Farm",5,1,20.0
"Frontline Tactics",30,6,20.0
"GTR 2 - FIA GT Racing Game",5,1,20.0
"Hacker Evolution Duality",15,3,20.0
"Hostile Waters Antaeus Rising",15,3,20.0
"Larva Mortus",10,2,20.0
"Lilly and Sasha Curse of the Immortals",10,2,20.0
"Magical Diary",5,1,20.0
"Make it indie!",5,1,20.0
"Max Gentlemen",5,1,20.0
"Mini Motor Racing EVO",5,1,20.0
"N.P.P.D. RUSH - The milk of Ultra violet",5,1,20.0
Nexuiz,20,4,20.0
"Offspring Fling!",15,3,20.0
"Original War",5,1,20.0
"Pacific Storm",5,1,20.0
"Prince of Persia Warrior Within",15,3,20.0
ProtoGalaxy,10,2,20.0
"RIP 3 The Last Hero",5,1,20.0
"RPG Maker XP",10,2,20.0
"Rhythm Destruction",5,1,20.0
"Rogue Trooper",5,1,20.0
"Saints Row The Third - Initiation Station",5,1,20.0
Saira,30,6,20.0
"SanctuaryRPG Black Edition",5,1,20.0
"Shellshock 2 Blood Trails",5,1,20.0
"Star Ruler",15,3,20.0
"Tales of Monkey Island Chapter 3 - Lair of the Leviathan ",10,2,20.0
"The Gate",5,1,20.0
"Toybox Turbos",5,1,20.0
"Unholy Heights",5,1,20.0
"World in Conflict",10,2,20.0
"YOU DON'T KNOW JACK Vol. 2",5,1,20.0
"iBomber Defense Pacific",20,4,20.0
"Hitman Sniper Challenge",122,24,19.67
"Star Wars Jedi Knight Dark Forces II",51,10,19.61
"Half-Life Source",190,37,19.47
"Divinity Original Sin Enhanced Edition",72,14,19.44
"Grand Chase",36,7,19.44
Confrontation,31,6,19.35
"Operation Flashpoint Red River",47,9,19.15
"Among Ripples",21,4,19.05
"DCS World",84,16,19.05
"Space Channel 5 Part 2",21,4,19.05
"Superfrog HD",21,4,19.05
"Serious Sam Classic The First Encounter",37,7,18.92
"Back to the Future Ep 2 - Get Tannen!",32,6,18.75
"Prince of Persia The Two Thrones",16,3,18.75
Skyborn,32,6,18.75
"SpellForce 2 Gold Edition",16,3,18.75
"Alien Breed 2 Assault",38,7,18.42
Hammerfight,38,7,18.42
"Royal Quest",49,9,18.37
"Aveyond 3-2 Gates of Night",11,2,18.18
"Crystals of Time",11,2,18.18
"Earth 2150 Trilogy",11,2,18.18
Escape,11,2,18.18
"Esenthel Engine",11,2,18.18
"Game Character Hub",11,2,18.18
Orborun,11,2,18.18
"Penny Arcade's On the Rain-Slick Precipice of Darkness 4",11,2,18.18
"Shower With Your Dad Simulator 2015 Do You Still Shower With Your Dad",11,2,18.18
"Terra Incognita ~ Chapter One The Descendant",11,2,18.18
"Total War Battles SHOGUN",11,2,18.18
"Zeno Clash 2",11,2,18.18
"Half-Life 2 Lost Coast",981,177,18.04
"Hitman 2 Silent Assassin",78,14,17.95
"Audition Online",28,5,17.86
Dethroned!,17,3,17.65
"Day of Defeat",534,94,17.6
"Wallace & Gromit Ep 1 Fright of the Bumblebees",23,4,17.39
"Company of Heroes Opposing Fronts",144,25,17.36
"Tomb Raider Underworld",52,9,17.31
Mabinogi,29,5,17.24
"Puzzle Agent",29,5,17.24
"Kung Fury",41,7,17.07
"Tomb Raider Legend",53,9,16.98
BattleSpace,6,1,16.67
"Blood Omen 2 Legacy of Kain",12,2,16.67
"Bloodwood Reload",6,1,16.67
"Chaos Heroes Online",18,3,16.67
"Colin McRae Rally",12,2,16.67
"Conquest of Champions",6,1,16.67
DRAKERZ-Confrontation,6,1,16.67
"Deadly Profits",6,1,16.67
"Dev Guy",12,2,16.67
"Digital Combat Simulator A-10C Warthog",6,1,16.67
"EverQuest Free-to-Play",24,4,16.67
"Farm Machines Championships 2014",6,1,16.67
GASP,6,1,16.67
"Hector Ep 1",24,4,16.67
"Jagged Alliance Crossfire",6,1,16.67
"Kill The Bad Guy",6,1,16.67
"MirrorMoon EP",6,1,16.67
"Moon Breakers",18,3,16.67
"Mortal Kombat Legacy II - Ep. 1 Reunited in Macau",6,1,16.67
"Naval Warfare",6,1,16.67
"Neighbours from Hell",6,1,16.67
"Neighbours from Hell 2",6,1,16.67
"NiGHTS into Dreams...",18,3,16.67
Nux,12,2,16.67
"Oddworld Munch's Oddysee",12,2,16.67
OlliOlli,12,2,16.67
"Our Darker Purpose",6,1,16.67
"Paranautical Activity Deluxe Atonement Edition",6,1,16.67
"Puzzle Bots",6,1,16.67
"Quantum Rush Online",24,4,16.67
Receiver,42,7,16.67
"Runaway A Twist of Fate",6,1,16.67
"Spriter Pro",6,1,16.67
Startopia,12,2,16.67
"The Forgotten Ones",30,5,16.67
"Wizardry Online",6,1,16.67
Yesterday,6,1,16.67
"The Ship Tutorial",85,14,16.47
"Serious Sam Classic The Second Encounter",37,6,16.22
"Shadow Warrior Classic (1997)",31,5,16.13
"Thief 2",31,5,16.13
"Pox Nora",25,4,16.0
"Serious Sam Double D XXL",25,4,16.0
"Vertiginous Golf",25,4,16.0
"Deus Ex Invisible War",63,10,15.87
"District 187",19,3,15.79
Multiwinia,38,6,15.79
"X-COM Apocalypse",38,6,15.79
"X-COM Terror from the Deep",38,6,15.79
"Alien Breed Impact",32,5,15.63
Famaze,13,2,15.38
"Humanity Asset",13,2,15.38
"Serious Sam The Random Encounter",26,4,15.38
SiN,13,2,15.38
"PAYDAY The Web Series - Episode 1",20,3,15.0
"Battlestations Midway",27,4,14.81
"Arma 2 Private Military Company",48,7,14.58
Alganon,7,1,14.29
"Anomaly Warzone Earth Mobile Campaign",7,1,14.29
"Arctic Combat",21,3,14.29
"Ben There, Dan That!",35,5,14.29
"Cobi Treasure Deluxe",14,2,14.29
"Commando Jack",21,3,14.29
"Flesh Eaters",7,1,14.29
"Games of Glory",7,1,14.29
"Grand Theft Auto 2",42,6,14.29
"Gun Metal",14,2,14.29
"Ittle Dew",7,1,14.29
Light,7,1,14.29
"Puzzle Dimension",7,1,14.29
"Strong Bad Episode 2 Strong Badia the Free",7,1,14.29
"Strong Bad Episode 3 Baddest of the Bands",7,1,14.29
"Strong Bad Episode 4 Dangeresque 3",7,1,14.29
"Vigil Blood Bitterness",7,1,14.29
"Without Within",7,1,14.29
"Counter-Strike Condition Zero Deleted Scenes",679,94,13.84
"Deus Ex The Fall",29,4,13.79
"Master Levels for DOOM II",29,4,13.79
"Alien Breed 3 Descent",22,3,13.64
C9,44,6,13.64
"Samorost 2",22,3,13.64
"Kane & Lynch Dead Men",30,4,13.33
"Worms Crazy Golf",30,4,13.33
"Killing Floor Mod Defence Alliance 2",213,28,13.15
"Fiesta Online NA",23,3,13.04
"Half-Life Blue Shift",363,46,12.67
"Sid Meier's Civilization IV Warlords",79,10,12.66
"Back to the Future Ep 3 - Citizen Brown",32,4,12.5
"Battlegrounds of Eldhelm",8,1,12.5
"Epic Cards Battle(TCG)",8,1,12.5
"Finding Teddy",8,1,12.5
"Fork Parker's Holiday Profit Hike",16,2,12.5
"Grotesque Tactics 2 - Dungeons and Donuts",8,1,12.5
KnightShift,40,5,12.5
"Last Word",8,1,12.5
"Numba Deluxe",8,1,12.5
"On the Rain-Slick Precipice of Darkness, Episode Two",16,2,12.5
"Out of the Park Baseball 14",8,1,12.5
"Overlord Raising Hell",64,8,12.5
"Painkiller Resurrection",8,1,12.5
"Planets Under Attack",8,1,12.5
"Quake III Team Arena",16,2,12.5
"Rising Angels Reborn",8,1,12.5
"Sam & Max 201 Ice Station Santa",8,1,12.5
"Sam & Max 202 Moai Better Blues",8,1,12.5
"Sam & Max 205 What's New Beelzebub?",8,1,12.5
"Super Splatters",8,1,12.5
"Tom Clancy's Splinter Cell Double Agent",16,2,12.5
"Wasteland 2 Director's Cut",24,3,12.5
"Wolfenstein 3D Spear of Destiny",8,1,12.5
"Viscera Cleanup Detail Shadow Warrior",57,7,12.28
"Puzzle Agent 2",25,3,12.0
"Arma 2 Operation Arrowhead Beta (Obsolete)",250,29,11.6
"Half-Life Opposing Force",366,42,11.48
"CrimeCraft GangWars",44,5,11.36
"Alpha Prime",27,3,11.11
"Anomaly Korea",9,1,11.11
"Broken Sword 3 - the Sleeping Dragon",9,1,11.11
Daikatana,18,2,11.11
"Fractal Make Blooms Not War",9,1,11.11
"GEARCRACK Arena",18,2,11.11
"Giana Sisters Twisted Dreams - Rise of the Owlverlord",9,1,11.11
"Guild Wars Trilogy",9,1,11.11
"Incoming Forces",9,1,11.11
"Mare Nostrum",63,7,11.11
"Space Hack",36,4,11.11
"Stronghold Crusader Extreme HD",45,5,11.11
"The Vanishing of Ethan Carter Redux",27,3,11.11
"Thunder Wolves",9,1,11.11
"Trucks & Trailers",9,1,11.11
"WTFast Gamers Private Network (GPN)",9,1,11.11
"Tomb Raider II",37,4,10.81
"English Country Tune",19,2,10.53
"SEGA Bass Fishing",19,2,10.53
"Red Faction II",29,3,10.34
"Reversion - The Escape",29,3,10.34
"Chaos Domain",30,3,10.0
"Eufloria HD",20,2,10.0
"Eurofighter Typhoon",10,1,10.0
"Freedom Force vs. the 3rd Reich",10,1,10.0
"HeXen Beyond Heretic",10,1,10.0
"Septerra Core",10,1,10.0
"East India Company Gold",51,5,9.8
"Divine Divinity",31,3,9.68
"Puzzle Pirates",21,2,9.52
"Back to the Future Ep 4 - Double Visions",32,3,9.38
"Back to the Future Ep 5 - OUTATIME",32,3,9.38
"F.E.A.R. Perseus Mandate",76,7,9.21
Pressure,11,1,9.09
"Ravensword Shadowlands",11,1,9.09
"SpellForce 2 - Demons of the Past",11,1,9.09
"The Banner Saga Factions",23,2,8.7
"Time Gentlemen, Please!",35,3,8.57
"Tomb Raider (VI) The Angel of Darkness",35,3,8.57
"Mini Ninjas",24,2,8.33
"Nikopol Secrets of the Immortals",12,1,8.33
"RACE Caterham Expansion",12,1,8.33
Saviors,12,1,8.33
"Sweet Lily Dreams",12,1,8.33
"The Fish Fillets 2",12,1,8.33
"Wasteland 1 - The Original Classic",24,2,8.33
Xam,24,2,8.33
"The Guild II - Pirates of the European Seas",26,2,7.69
"The Whispered World Special Edition",13,1,7.69
"UFO Afterlight",26,2,7.69
"War of the Roses Balance Beta",53,4,7.55
"Starbound - Unstable",134,10,7.46
"Batman Arkham Origins Blackgate - Deluxe Edition",41,3,7.32
"Beyond Divinity",28,2,7.14
"Divinity Dragon Commander Beta",14,1,7.14
"Legacy of Kain Soul Reaver 2",14,1,7.14
Snapshot,14,1,7.14
"Team Fortress Classic",366,26,7.1
"Quake Mission Pack 1 Scourge of Armagon",15,1,6.67
"Quake Mission Pack 2 Dissolution of Eternity",15,1,6.67
"The 39 Steps",15,1,6.67
"F.E.A.R. Extraction Point",76,5,6.58
"H1Z1 Test Server",138,9,6.52
"Pirates of Black Cove Gold",47,3,6.38
"Arma 2 British Armed Forces",48,3,6.25
